,County_x,Political_Party,Candidates,Perct_Votes,Total_Votes,State,Abbreviations,FIPS,County_y
0,Alachua,Republican,Donald Trump and Mike Pence,35.63%,50972,Florida,FL,12001,Alachua
0,Alachua,Democrat,Joe Biden and Kamala Harris,62.71%,89704,Florida,FL,12001,Alachua
1,Baker,Republican,Donald Trump and Mike Pence,84.58%,11911,Florida,FL,12003,Baker
1,Baker,Democrat,Joe Biden and Kamala Harris,14.47%,2037,Florida,FL,12003,Baker
2,Bay,Republican,Donald Trump and Mike Pence,70.91%,66097,Florida,FL,12005,Bay
2,Bay,Democrat,Joe Biden and Kamala Harris,27.48%,25614,Florida,FL,12005,Bay
3,Bradford,Republican,Donald Trump and Mike Pence,75.71%,10334,Florida,FL,12007,Bradford
3,Bradford,Democrat,Joe Biden and Kamala Harris,23.15%,3160,Florida,FL,12007,Bradford
4,Brevard,Republican,Donald Trump and Mike Pence,57.48%,207883,Florida,FL,12009,Brevard
4,Brevard,Democrat,Joe Biden and Kamala Harris,41.08%,148549,Florida,FL,12009,Brevard
5,Broward,Republican,Donald Trump and Mike Pence,34.74%,333409,Florida,FL,12011,Broward
5,Broward,Democrat,Joe Biden and Kamala Harris,64.48%,618752,Florida,FL,12011,Broward
6,Calhoun,Republican,Donald Trump and Mike Pence,80.68%,5274,Florida,FL,12013,Calhoun
6,Calhoun,Democrat,Joe Biden and Kamala Harris,18.49%,1209,Florida,FL,12013,Calhoun
7,Charlotte,Republican,Donald Trump and Mike Pence,62.84%,73243,Florida,FL,12015,Charlotte
7,Charlotte,Democrat,Joe Biden and Kamala Harris,36.27%,42273,Florida,FL,12015,Charlotte
8,Citrus,Republican,Donald Trump and Mike Pence,69.98%,65352,Florida,FL,12017,Citrus
8,Citrus,Democrat,Joe Biden and Kamala Harris,29.01%,27092,Florida,FL,12017,Citrus
9,Clay,Republican,Donald Trump and Mike Pence,67.77%,84480,Florida,FL,12019,Clay
9,Clay,Democrat,Joe Biden and Kamala Harris,30.74%,38317,Florida,FL,12019,Clay
10,Collier,Republican,Donald Trump and Mike Pence,61.91%,128950,Florida,FL,12021,Collier
10,Collier,Democrat,Joe Biden and Kamala Harris,37.27%,77621,Florida,FL,12021,Collier
11,Columbia,Republican,Donald Trump and Mike Pence,72.03%,23836,Florida,FL,12023,Columbia
11,Columbia,Democrat,Joe Biden and Kamala Harris,26.94%,8914,Florida,FL,12023,Columbia
12,DeSoto,Republican,Donald Trump and Mike Pence,65.58%,8313,Florida,FL,12027,DeSoto
12,DeSoto,Democrat,Joe Biden and Kamala Harris,33.60%,4259,Florida,FL,12027,DeSoto
13,Dixie,Republican,Donald Trump and Mike Pence,82.70%,6759,Florida,FL,12029,Dixie
13,Dixie,Democrat,Joe Biden and Kamala Harris,16.70%,1365,Florida,FL,12029,Dixie
14,Duval,Republican,Donald Trump and Mike Pence,47.30%,233762,Florida,FL,12031,Duval
14,Duval,Democrat,Joe Biden and Kamala Harris,51.11%,252556,Florida,FL,12031,Duval
15,Escambia,Republican,Donald Trump and Mike Pence,56.58%,96674,Florida,FL,12033,Escambia
15,Escambia,Democrat,Joe Biden and Kamala Harris,41.51%,70929,Florida,FL,12033,Escambia
16,Flagler,Republican,Donald Trump and Mike Pence,59.90%,43043,Florida,FL,12035,Flagler
16,Flagler,Democrat,Joe Biden and Kamala Harris,39.19%,28161,Florida,FL,12035,Flagler
17,Franklin,Republican,Donald Trump and Mike Pence,68.16%,4675,Florida,FL,12037,Franklin
17,Franklin,Democrat,Joe Biden and Kamala Harris,30.91%,2120,Florida,FL,12037,Franklin
18,Gadsden,Republican,Donald Trump and Mike Pence,31.42%,7465,Florida,FL,12039,Gadsden
18,Gadsden,Democrat,Joe Biden and Kamala Harris,67.98%,16153,Florida,FL,12039,Gadsden
19,Gilchrist,Republican,Donald Trump and Mike Pence,81.37%,7895,Florida,FL,12041,Gilchrist
19,Gilchrist,Democrat,Joe Biden and Kamala Harris,17.52%,1700,Florida,FL,12041,Gilchrist
20,Glades,Republican,Donald Trump and Mike Pence,72.69%,3782,Florida,FL,12043,Glades
20,Glades,Democrat,Joe Biden and Kamala Harris,26.62%,1385,Florida,FL,12043,Glades
21,Gulf,Republican,Donald Trump and Mike Pence,74.80%,6113,Florida,FL,12045,Gulf
21,Gulf,Democrat,Joe Biden and Kamala Harris,24.29%,1985,Florida,FL,12045,Gulf
22,Hamilton,Republican,Donald Trump and Mike Pence,65.33%,3815,Florida,FL,12047,Hamilton
22,Hamilton,Democrat,Joe Biden and Kamala Harris,33.61%,1963,Florida,FL,12047,Hamilton
23,Hardee,Republican,Donald Trump and Mike Pence,72.01%,6122,Florida,FL,12049,Hardee
23,Hardee,Democrat,Joe Biden and Kamala Harris,27.03%,2298,Florida,FL,12049,Hardee
24,Hendry,Republican,Donald Trump and Mike Pence,61.02%,7906,Florida,FL,12051,Hendry
24,Hendry,Democrat,Joe Biden and Kamala Harris,38.04%,4929,Florida,FL,12051,Hendry
25,Hernando,Republican,Donald Trump and Mike Pence,64.51%,70412,Florida,FL,12053,Hernando
25,Hernando,Democrat,Joe Biden and Kamala Harris,34.37%,37519,Florida,FL,12053,Hernando
26,Highlands,Republican,Donald Trump and Mike Pence,66.75%,34873,Florida,FL,12055,Highlands
26,Highlands,Democrat,Joe Biden and Kamala Harris,32.42%,16938,Florida,FL,12055,Highlands
27,Hillsborough,Republican,Donald Trump and Mike Pence,45.85%,327398,Florida,FL,12057,Hillsborough
27,Hillsborough,Democrat,Joe Biden and Kamala Harris,52.71%,376367,Florida,FL,12057,Hillsborough
28,Holmes,Republican,Donald Trump and Mike Pence,89.01%,8080,Florida,FL,12059,Holmes
